product,retailer,price,timestamp
"Samsung SWA-9500S, Paar",mylemon.at,228.89,2025-04-18 09:12
"Samsung SWA-9500S, Paar",alza.at,228.9,2025-04-18 09:12
"Samsung SWA-9500S, Paar",haym.infotec,228.91,2025-04-18 09:12
"Samsung SWA-9500S, Paar",Future-X.at,229.19,2025-04-18 09:12
"Samsung SWA-9500S, Paar",galaxus.at,241.99,2025-04-18 09:12
"Samsung SWA-9500S, Paar",OTTO Österreich,241.99,2025-04-18 09:12
"Samsung SWA-9500S, Paar",Universal Versand,241.99,2025-04-18 09:12
"Samsung SWA-9500S, Paar",Köck,242.0,2025-04-18 09:12
"Samsung SWA-9500S, Paar",Radio Krejcik Wien,242.0,2025-04-18 09:12
"Samsung SWA-9500S, Paar",e-tec.at,242.0,2025-04-18 09:12
"Samsung SWA-9500S, Paar",DiTech.at,244.9,2025-04-18 09:12
"Samsung SWA-9500S, Paar",Proshop.at,249.0,2025-04-18 09:12
"Samsung SWA-9500S, Paar",Expert,279.0,2025-04-18 09:12
"Samsung SWA-9500S, Paar",Red Zac,279.0,2025-04-18 09:12
"Samsung SWA-9500S, Paar",mylemon.at,374.47,2025-04-18 09:12
"Klipsch RP-8000F II ebenholz, Stück",electronic4you,586.0,2025-04-18 09:12
"Klipsch RP-8000F II ebenholz, Stück",electronic4you,588.0,2025-04-18 09:12
"Klipsch RP-8000F II ebenholz, Stück",Majdic,588.0,2025-04-18 09:12
"Klipsch RP-8000F II ebenholz, Stück",Media Markt.at,589.99,2025-04-18 09:12
"Klipsch RP-8000F II ebenholz, Stück",electronic4you-shop,632.26,2025-04-18 09:12
"Klipsch RP-8000F II ebenholz, Stück",Akustik Projekt,849.0,2025-04-18 09:12
"Klipsch RP-8000F II ebenholz, Stück",HiFi-Design,849.0,2025-04-18 09:12
"Klipsch RP-8000F II ebenholz, Stück",HeimkinoWelt,849.0,2025-04-18 09:12
"Klipsch RP-8000F II ebenholz, Stück",katzenbeisser multimedia & mehr,849.0,2025-04-18 09:12
"Klipsch RP-8000F II ebenholz, Stück",visunext.at,856.99,2025-04-18 09:12
"LG SPQ8-S, Paar",Proshop.at,149.17,2025-04-18 09:12
"LG SPQ8-S, Paar",0815,153.99,2025-04-18 09:12
"LG SPQ8-S, Paar",neckermann.at,153.99,2025-04-18 09:12
"LG SPQ8-S, Paar",galaxus.at,156.16,2025-04-18 09:12
"LG SPQ8-S, Paar",ElectronicShop24,163.0,2025-04-18 09:12
"LG SPQ8-S, Paar",mylemon.at,289.62,2025-04-18 09:12
"Klipsch R-50M, Paar",Akustik Projekt,225.0,2025-04-18 09:12
"Klipsch R-50M, Paar",HeimkinoWelt,226.0,2025-04-18 09:12
"Klipsch R-50M, Paar",Media Markt.at,232.99,2025-04-18 09:12
"Klipsch R-50M, Paar",alza.at,246.9,2025-04-18 09:12
"Klipsch R-50M, Paar",Proshop.at,267.86,2025-04-18 09:12
"Klipsch RP-504C II ebenholz, Stück",electronic4you,445.9,2025-04-18 09:12
"Klipsch RP-504C II ebenholz, Stück",Media Markt.at,459.99,2025-04-18 09:12
"Klipsch RP-504C II ebenholz, Stück",HeimkinoWelt,519.0,2025-04-18 09:12
"Klipsch RP-504C II ebenholz, Stück",Majdic,519.0,2025-04-18 09:12
"Klipsch RP-504C II ebenholz, Stück",Akustik Projekt,649.0,2025-04-18 09:12
"Klipsch RP-504C II ebenholz, Stück",HiFi-Design,649.0,2025-04-18 09:12
"Klipsch RP-504C II ebenholz, Stück",katzenbeisser multimedia & mehr,649.0,2025-04-18 09:12
"Klipsch RP-504C II ebenholz, Stück",visunext.at,654.99,2025-04-18 09:12
"Klipsch R-30C, Stück",HiFi-Design,281.0,2025-04-18 09:12
"Klipsch R-30C, Stück",Akustik Projekt,289.0,2025-04-18 09:12
"Klipsch R-30C, Stück",HeimkinoWelt,289.0,2025-04-18 09:12
"Klipsch R-30C, Stück",alza.at,298.9,2025-04-18 09:12
"Klipsch R-30C, Stück",electronic4you,299.0,2025-04-18 09:12
"Klipsch R-30C, Stück",Majdic,299.0,2025-04-18 09:12
"Klipsch R-30C, Stück",Media Markt.at,299.99,2025-04-18 09:12
"Klipsch R-30C, Stück",electronic4you-shop,343.68,2025-04-18 09:12
"Klipsch R-30C, Stück",galaxus.at,363.56,2025-04-18 09:12
"Klipsch R-40SA, Paar",electronic4you,297.0,2025-04-18 09:12
"Klipsch R-40SA, Paar",alza.at,298.9,2025-04-18 09:12
"Klipsch R-40SA, Paar",Akustik Projekt,299.0,2025-04-18 09:12
"Klipsch R-40SA, Paar",electronic4you,299.0,2025-04-18 09:12
"Klipsch R-40SA, Paar",Proshop.at,305.66,2025-04-18 09:12
"Klipsch R-40SA, Paar",electronic4you-shop,321.51,2025-04-18 09:12
"Klipsch R-40SA, Paar",HeimkinoWelt,329.0,2025-04-18 09:12
"Klipsch R-40SA, Paar",Majdic,329.0,2025-04-18 09:12
"Klipsch R-40SA, Paar",galaxus.at,335.42,2025-04-18 09:12
"Klipsch R-40SA, Paar",HiFi-Design,375.0,2025-04-18 09:12
"Klipsch R-40SA, Paar",mylemon.at,509.82,2025-04-18 09:12
"Sonus faber Sonetto III G2 (verschiedene Farben), Stück",Media Markt.at,2249.0,2025-04-18 09:12
"Sonus faber Sonetto III G2 (verschiedene Farben), Stück",HiFi-Design,2249.5,2025-04-18 09:12
"Sonus faber Sonetto III G2 (verschiedene Farben), Stück",HeimkinoWelt,2249.5,2025-04-18 09:12
"Polk Audio Signature Elite ES15 schwarz, Paar",electronic4you,217.0,2025-04-18 09:12
"Polk Audio Signature Elite ES15 schwarz, Paar",electronic4you,219.0,2025-04-18 09:12
"Polk Audio Signature Elite ES15 schwarz, Paar",Majdic,219.0,2025-04-18 09:12
"Polk Audio Signature Elite ES15 schwarz, Paar",Amazon.at,226.89,2025-04-18 09:12
"Polk Audio Signature Elite ES15 schwarz, Paar",galaxus.at,229.5,2025-04-18 09:12
"Polk Audio Signature Elite ES15 schwarz, Paar",electronic4you-shop,251.72,2025-04-18 09:12
"Polk Audio Signature Elite ES15 schwarz, Paar",Alternate.at,252.0,2025-04-18 09:12
"LG SPT8-S, Paar",Amazon.at,78.63,2025-04-18 09:12
"LG SPT8-S, Paar",galaxus.at,79.55,2025-04-18 09:12
"LG SPT8-S, Paar",Alternate.at,80.9,2025-04-18 09:12
"LG SPT8-S, Paar",haym.infotec,82.49,2025-04-18 09:12
"LG SPT8-S, Paar",0815,84.37,2025-04-18 09:12
"LG SPT8-S, Paar",neckermann.at,89.99,2025-04-18 09:12
"LG SPT8-S, Paar",e-tec.at,90.0,2025-04-18 09:12
"LG SPT8-S, Paar",DiTech.at,90.9,2025-04-18 09:12
"LG SPT8-S, Paar",OTTO Österreich,99.99,2025-04-18 09:12
"LG SPT8-S, Paar",Universal Versand,99.99,2025-04-18 09:12
"LG SPT8-S, Paar",ElectronicShop24,102.0,2025-04-18 09:12
"LG SPT8-S, Paar",mylemon.at,224.2,2025-04-18 09:12
